EEID,Workday ID,Title,Contract Type,Employment Type,Gender,Status,Termination Type,Job Level,Department,Location,Hire Source,Hire Date,Termination Date,Date of Last Promotion,Prior Job Level,Date of Last Job Change,Parental Leave Start,Parental Leave End,Secondary Carer Parental Leave Start,Secondary Carer Parental Leave End
426,W100425,Senior Data Scientist,Permanent,Full Time,Male,Active,,8,Product,Chicago,Job Board,2012-06-11,,2017-04-19,7,2017-04-19,,,,
427,W100426,Vice President of Marketing,Permanent,Full Time,Male,Active,,11,Marketing,Remote,Internal Transfer,2019-01-08,,,10,2019-01-08,,,,
428,W100427,Junior Marketing Specialist,Permanent,Full Time,Male,Active,,2,HR,Austin,Referral,2013-02-05,,,,2013-02-05,,,,
429,W100428,Senior Marketing Specialist,Contractor,Full Time,Female,Active,,6,Finance,New York,Internal Transfer,2021-08-17,,,5,2021-08-17,,,,
430,W100429,Director of Sales,Permanent,Full Time,Male,Active,,9,IT,San Francisco,Internal Transfer,2022-05-19,,,8,2024-03-16,,,,
431,W100430,Director of Marketing,Permanent,Full Time,Male,Active,,9,HR,San Francisco,Campus Recruiting,2018-09-07,,2023-11-16,8,2023-11-16,,,,
432,W100431,Director of Sales,Permanent,Full Time,Male,Active,,9,Operations,Boston,Campus Recruiting,2017-08-21,,2022-08-18,8,2022-08-18,2023-09-04,2023-10-16,,
433,W100432,CMO,Permanent,Full Time,Female,Active,,13,Product,New York,Referral,2017-12-16,,2018-08-23,12,2018-08-23,,,,
434,W100433,UX Designer,Permanent,Full Time,Female,Active,,5,Engineering,Austin,Job Board,2024-10-16,,,4,2024-10-16,,,,
435,W100434,Vice President of Sales,Permanent,Full Time,Female,Active,,11,HR,San Francisco,Referral,2011-10-04,,2015-04-01,10,2015-04-01,,,,
436,W100435,Sales Manager,Permanent,Full Time,Female,Terminated,Voluntary,7,Marketing,New York,Campus Recruiting,2022-01-19,2018-07-09,,,2022-01-19,,,,
437,W100436,Director of Engineering,Permanent,Full Time,Male,Active,,9,IT,San Francisco,Job Board,2015-02-28,,,,2015-02-28,,,,
438,W100437,CEO,Permanent,Full Time,Male,Active,,14,Engineering,New York,Referral,2016-02-27,,,,2016-02-27,,,,
439,W100438,CMO,Permanent,Full Time,Male,Active,,13,IT,San Francisco,Campus Recruiting,2023-12-09,,,,2023-12-09,,,,
440,W100439,Senior Sales Associate,Contractor,Full Time,Male,Active,,6,Operations,Chicago,Campus Recruiting,2012-03-01,,2018-02-02,5,2018-02-02,,,2022-07-02,2022-08-13
441,W100440,Senior UX Designer,Contractor,Part Time,Female,Active,,7,Product,Austin,Referral,2023-04-24,,,6,2023-04-24,,,,
442,W100441,CFO,Permanent,Full Time,Male,Active,,13,Operations,Boston,Recruiter,2019-06-26,,2021-05-27,12,2021-05-27,,,,
443,W100442,Vice President of Sales,Permanent,Full Time,Female,Active,,11,Finance,Boston,Internal Transfer,2011-01-05,,2019-10-10,10,2019-10-10,,,,
444,W100443,Vice President of Sales,Permanent,Full Time,Female,Active,,11,HR,Chicago,Recruiter,2021-03-05,,,10,2023-10-11,,,,
445,W100444,Vice President of Sales,Permanent,Full Time,Female,Active,,11,Operations,New York,Job Board,2011-06-02,,2019-05-13,10,2019-05-13,,,,
446,W100445,Software Engineer,Contractor,Part Time,Male,Active,,4,IT,New York,Campus Recruiting,2011-01-14,,,,2011-01-14,,,,
447,W100446,Junior Sales Associate,Permanent,Full Time,Male,Terminated,Voluntary,2,HR,Remote,Job Board,2023-11-06,2017-02-07,,1,2024-05-10,,,,
448,W100447,Software Engineer,Permanent,Part Time,Female,Active,,4,IT,New York,Referral,2013-09-15,,,,2023-12-22,2020-11-22,2021-01-03,,
449,W100448,Data Analyst,Contractor,Part Time,Male,Active,,3,Finance,Boston,Campus Recruiting,2012-06-24,,2017-03-07,2,2017-03-07,,,,
450,W100449,CIO,Permanent,Full Time,Female,Active,,13,Marketing,New York,Internal Transfer,2011-02-12,,2018-01-26,12,2018-01-26,,,,
451,W100450,COO,Permanent,Full Time,Female,Active,,13,Marketing,Remote,Recruiter,2024-06-12,,,,2024-06-12,,,,
452,W100451,Senior Sales Associate,Permanent,Part Time,Female,Active,,6,HR,San Francisco,Referral,2017-12-26,,,5,2024-10-15,,,,
453,W100452,Senior Product Manager,Permanent,Full Time,Female,Active,,9,Product,Chicago,Internal Transfer,2018-04-23,,,,2018-04-23,,,,
454,W100453,Sales Associate,Contractor,Part Time,Female,Active,,4,Marketing,Austin,Referral,2014-06-02,,2016-06-20,3,2016-06-20,,,,
455,W100454,UX Designer,Permanent,Full Time,Female,Active,,5,Operations,Austin,Internal Transfer,2010-05-27,,2017-11-17,4,2017-11-17,,,,
456,W100455,UX Designer,Contractor,Part Time,Male,Active,,5,Operations,Chicago,Internal Transfer,2010-07-24,,,,2023-08-10,,,,
457,W100456,Junior Sales Associate,Contractor,Part Time,Female,Active,,2,Marketing,San Francisco,Job Board,2023-09-08,,,1,2023-09-08,,,,
458,W100457,SVP of Marketing,Permanent,Full Time,Male,Active,,12,IT,San Francisco,Recruiter,2013-02-24,,2023-10-16,11,2023-10-16,,,,
459,W100458,CIO,Permanent,Full Time,Male,Active,,13,HR,Chicago,Job Board,2022-12-24,,,12,2022-12-24,,,,
460,W100459,Marketing Manager,Contractor,Part Time,Male,Active,,7,Engineering,Chicago,Internal Transfer,2014-08-21,,2023-01-28,6,2023-01-28,,,2025-01-24,2025-03-07
461,W100460,CTO,Permanent,Full Time,Male,Terminated,Involuntary,13,IT,Austin,Recruiter,2015-02-17,2020-10-21,2022-02-09,12,2022-02-09,,,,
462,W100461,Senior Data Scientist,Permanent,Full Time,Male,Active,,8,Sales,New York,Referral,2013-11-11,,,,2013-11-11,,,,
463,W100462,CMO,Permanent,Full Time,Female,Terminated,Voluntary,13,Product,Remote,Referral,2018-04-24,2022-08-06,2020-04-23,12,2020-04-23,,,,
464,W100463,Senior Product Manager,Permanent,Full Time,Female,Terminated,Voluntary,9,Marketing,Boston,Referral,2017-05-11,2015-06-12,,8,2017-05-11,2021-11-12,2021-12-24,,
465,W100464,Sales Associate,Contractor,Part Time,Female,Active,,4,Finance,San Francisco,Recruiter,2025-01-27,,,3,2025-01-27,,,,
466,W100465,Senior Data Scientist,Permanent,Full Time,Male,Active,,8,IT,Chicago,Recruiter,2010-06-03,,2019-08-09,7,2019-08-09,,,,
467,W100466,CEO,Permanent,Full Time,Male,Active,,14,Engineering,Chicago,Referral,2016-03-09,,,,2016-03-09,,,,
468,W100467,Director of Sales,Permanent,Full Time,Female,Active,,9,Marketing,Chicago,Job Board,2022-02-28,,,8,2023-12-02,,,,
469,W100468,Director of Sales,Permanent,Full Time,Male,Active,,9,Product,New York,Job Board,2023-12-09,,,8,2023-12-09,,,,
470,W100469,SVP of Marketing,Permanent,Full Time,Female,Active,,12,IT,Chicago,Job Board,2016-11-22,,,,2016-11-22,,,,
471,W100470,Vice President of Marketing,Permanent,Full Time,Male,Active,,11,HR,Austin,Referral,2012-07-12,,2016-07-16,10,2016-07-16,,,,
472,W100471,Marketing Manager,Permanent,Full Time,Female,Active,,7,HR,Boston,Referral,2011-02-22,,2015-07-17,6,2015-07-17,,,,
473,W100472,Vice President of Sales,Permanent,Full Time,Male,Active,,11,Marketing,Boston,Campus Recruiting,2012-10-17,,2015-11-23,10,2015-11-23,,,,
474,W100473,UX Designer,Contractor,Part Time,Male,Active,,5,Finance,Austin,Internal Transfer,2013-12-24,,2020-11-27,4,2020-11-27,,,,
475,W100474,Senior Marketing Specialist,Contractor,Full Time,Male,Active,,6,Sales,Boston,Campus Recruiting,2011-10-12,,2018-05-10,5,2018-05-10,,,,
476,W100475,Software Engineer,Contractor,Part Time,Male,Active,,4,Finance,Chicago,Job Board,2020-05-26,,2022-11-08,3,2022-11-08,,,,
477,W100476,COO,Permanent,Full Time,Female,Active,,13,Finance,San Francisco,Campus Recruiting,2012-07-27,,2016-09-25,12,2016-09-25,,,,
478,W100477,Senior Software Engineer,Contractor,Part Time,Male,Active,,6,HR,New York,Campus Recruiting,2010-08-08,,2022-10-17,5,2022-10-17,,,,
479,W100478,Software Engineer,Permanent,Part Time,Female,Active,,4,Operations,Chicago,Internal Transfer,2025-01-01,,,,2025-01-01,,,,
480,W100479,CIO,Permanent,Full Time,Female,Terminated,Voluntary,13,Finance,Boston,Recruiter,2011-06-26,2016-06-08,2018-10-28,12,2018-10-28,2020-11-10,2020-12-22,2022-11-13,2022-12-25
481,W100480,Director of Marketing,Permanent,Full Time,Female,Active,,9,Operations,Austin,Internal Transfer,2022-10-27,,2023-09-24,8,2023-09-24,,,,
482,W100481,Director of Marketing,Permanent,Full Time,Male,Terminated,Voluntary,9,IT,Remote,Job Board,2021-04-19,2019-10-26,,8,2024-05-31,,,,
483,W100482,Data Scientist,Contractor,Full Time,Male,Active,,6,Engineering,Remote,Campus Recruiting,2010-04-21,,2024-10-19,5,2024-10-19,,,,
484,W100483,Sales Manager,Contractor,Full Time,Male,Active,,7,Finance,Boston,Internal Transfer,2020-05-16,,2021-06-21,6,2021-06-21,,,,
485,W100484,CEO,Permanent,Full Time,Male,Active,,14,IT,Chicago,Internal Transfer,2011-08-16,,,,2011-08-16,,,,
486,W100485,Engineering Manager,Contractor,Full Time,Female,Active,,7,Finance,Boston,Internal Transfer,2023-04-24,,,6,2023-06-23,,,,
487,W100486,CMO,Permanent,Full Time,Male,Active,,13,Sales,San Francisco,Referral,2010-04-22,,2019-09-07,12,2019-09-07,,,,
488,W100487,Sales Associate,Contractor,Part Time,Female,Active,,4,Sales,Remote,Referral,2010-08-24,,2020-11-22,3,2020-11-22,,,,
489,W100488,Director of Marketing,Permanent,Full Time,Female,Terminated,Involuntary,9,Engineering,Austin,Internal Transfer,2014-09-16,2020-04-27,,,2014-09-16,,,,
490,W100489,Senior Data Scientist,Permanent,Full Time,Male,Active,,8,Product,San Francisco,Campus Recruiting,2015-09-06,,2022-09-10,7,2022-09-10,,,,
491,W100490,Data Analyst,Permanent,Part Time,Female,Active,,3,Finance,Chicago,Job Board,2012-07-20,,,,2012-07-20,,,,
492,W100491,Senior Data Scientist,Permanent,Full Time,Female,Active,,8,HR,Chicago,Job Board,2020-01-10,,,7,2020-01-10,,,,
493,W100492,SVP of Engineering,Permanent,Full Time,Female,Active,,12,Marketing,Austin,Job Board,2012-03-10,,,,2012-03-10,,,,
494,W100493,Engineering Manager,Contractor,Part Time,Male,Active,,7,Marketing,Remote,Campus Recruiting,2021-07-07,,2023-08-15,6,2023-08-15,,,,
495,W100494,Junior Software Engineer,Permanent,Full Time,Male,Active,,2,Product,New York,Job Board,2013-06-18,,,,2013-06-18,,,,
496,W100495,Junior Sales Associate,Contractor,Part Time,Male,Active,,2,Finance,Remote,Referral,2011-01-13,,2024-05-07,1,2024-05-07,2020-08-29,2020-10-10,,
497,W100496,Sales Manager,Permanent,Part Time,Male,Active,,7,Product,Chicago,Referral,2021-07-08,,,,2021-07-08,,,,
498,W100497,Sales Associate,Contractor,Part Time,Male,Active,,4,Product,San Francisco,Campus Recruiting,2020-10-22,,2023-10-28,3,2023-10-28,,,,
499,W100498,Senior Sales Associate,Contractor,Part Time,Male,Active,,6,Sales,Austin,Campus Recruiting,2015-02-13,,,,2015-02-13,,,,
500,W100499,Director of Sales,Permanent,Full Time,Male,Active,,9,Marketing,Austin,Job Board,2023-02-23,,,8,2023-02-23,,,2024-04-25,2024-06-06
501,W100500,CFO,Permanent,Full Time,Female,Active,,13,Product,New York,Job Board,2021-03-20,,2023-03-28,12,2023-03-28,,,,
502,W100501,Senior Data Analyst,Permanent,Part Time,Male,Terminated,Involuntary,5,Operations,Remote,Recruiter,2019-12-15,2023-09-28,,4,2019-12-15,,,,
503,W100502,Senior Data Analyst,Permanent,Full Time,Female,Active,,5,Sales,Boston,Internal Transfer,2010-02-14,,2015-05-14,4,2015-05-14,,,,
504,W100503,Sales Associate,Contractor,Full Time,Male,Active,,4,Sales,Remote,Job Board,2022-04-06,,,3,2022-04-06,,,,
505,W100504,CMO,Permanent,Full Time,Female,Active,,13,HR,San Francisco,Campus Recruiting,2017-03-07,,2020-08-17,12,2020-08-17,,,,
506,W100505,CIO,Permanent,Full Time,Male,Active,,13,Marketing,New York,Referral,2021-01-15,,2022-09-26,12,2022-09-26,,,,
507,W100506,Junior Sales Associate,Contractor,Part Time,Female,Active,,2,IT,San Francisco,Campus Recruiting,2013-05-03,,,,2013-05-03,,,,
508,W100507,Vice President of Sales,Permanent,Full Time,Male,Active,,11,Sales,Remote,Job Board,2019-10-20,,2021-11-12,10,2021-11-12,,,,
509,W100508,Junior Sales Associate,Permanent,Full Time,Female,Active,,2,Marketing,Chicago,Referral,2021-10-12,,,,2021-10-12,,,,
510,W100509,Senior Product Manager,Permanent,Full Time,Male,Active,,9,HR,Remote,Job Board,2020-07-03,,,8,2020-07-03,,,,
511,W100510,Product Manager,Contractor,Part Time,Female,Active,,7,Engineering,Austin,Referral,2021-11-22,,,6,2023-03-22,,,,
512,W100511,Marketing Manager,Permanent,Full Time,Female,Active,,7,Finance,Chicago,Referral,2022-01-12,,,,2022-01-12,2024-09-17,2024-10-29,,
513,W100512,Data Scientist,Contractor,Part Time,Male,Active,,6,IT,Austin,Internal Transfer,2022-10-08,,,5,2023-05-31,,,,
514,W100513,Junior Software Engineer,Contractor,Full Time,Female,Active,,2,Product,San Francisco,Job Board,2018-10-18,,,,2018-10-18,,,,
515,W100514,Junior Sales Associate,Contractor,Full Time,Male,Active,,2,IT,Boston,Referral,2010-03-11,,2019-08-17,1,2019-08-17,,,,
516,W100515,Senior Sales Associate,Contractor,Part Time,Female,Terminated,Involuntary,6,Finance,San Francisco,Job Board,2012-05-25,2017-01-15,,,2012-05-25,,,,
517,W100516,Data Scientist,Permanent,Part Time,Male,Terminated,Voluntary,6,Operations,Chicago,Recruiter,2013-06-28,2022-03-27,2019-04-13,5,2019-04-13,,,,
518,W100517,Senior Data Scientist,Permanent,Full Time,Male,Active,,8,Operations,Chicago,Recruiter,2019-06-15,,,,2024-06-04,,,,
519,W100518,UX Designer,Contractor,Full Time,Male,Active,,5,IT,Remote,Internal Transfer,2024-06-17,,,,2024-06-17,,,,
520,W100519,Data Scientist,Contractor,Part Time,Male,Active,,6,Engineering,San Francisco,Campus Recruiting,2018-11-05,,2023-12-06,5,2023-12-06,,,2024-01-19,2024-03-01
521,W100520,Vice President of Marketing,Permanent,Full Time,Female,Active,,11,Operations,San Francisco,Referral,2021-12-02,,,10,2021-12-02,,,,
522,W100521,Data Analyst,Permanent,Full Time,Male,Active,,3,Finance,Chicago,Recruiter,2012-04-11,,2023-08-08,2,2023-08-08,,,,
523,W100522,COO,Permanent,Full Time,Male,Active,,13,Operations,San Francisco,Internal Transfer,2013-10-16,,2017-06-17,12,2017-06-17,,,,
524,W100523,Junior Sales Associate,Permanent,Full Time,Male,Active,,2,Engineering,San Francisco,Job Board,2021-10-26,,2024-12-30,1,2024-12-30,,,,
525,W100524,Senior Sales Associate,Contractor,Full Time,Female,Active,,6,Product,Boston,Referral,2017-09-26,,2019-07-22,5,2019-07-22,,,,
526,W100525,Marketing Specialist,Contractor,Full Time,Male,Terminated,Voluntary,4,Operations,Austin,Job Board,2014-03-05,2017-12-25,,,2014-03-05,,,,
527,W100526,CIO,Permanent,Full Time,Male,Active,,13,Engineering,Austin,Internal Transfer,2019-05-14,,,12,2019-05-14,,,,
528,W100527,Vice President of Sales,Permanent,Full Time,Male,Active,,11,Finance,San Francisco,Campus Recruiting,2010-03-05,,2017-12-01,10,2017-12-01,2023-02-21,2023-04-04,,
529,W100528,Senior Data Analyst,Permanent,Part Time,Male,Active,,5,IT,San Francisco,Internal Transfer,2014-06-27,,2015-02-12,4,2015-02-12,,,,
530,W100529,Sales Associate,Permanent,Part Time,Female,Active,,4,Engineering,New York,Recruiter,2014-05-06,,,,2014-05-06,,,,
531,W100530,SVP of Sales,Permanent,Full Time,Female,Active,,12,Sales,Austin,Recruiter,2017-06-13,,2019-04-25,11,2019-04-25,,,,
532,W100531,Senior Software Engineer,Contractor,Full Time,Female,Terminated,Voluntary,6,Engineering,Boston,Referral,2020-11-03,2015-08-05,2023-05-13,5,2023-05-13,,,,
533,W100532,CIO,Permanent,Full Time,Male,Active,,13,IT,Boston,Campus Recruiting,2016-11-08,,,,2016-11-08,,,,
534,W100533,Senior Data Scientist,Permanent,Full Time,Male,Active,,8,Finance,Chicago,Recruiter,2023-04-20,,,7,2023-04-20,,,,
535,W100534,Senior UX Designer,Contractor,Full Time,Female,Terminated,Involuntary,7,Engineering,Remote,Referral,2014-08-10,2015-01-03,,,2023-06-29,,,,
536,W100535,CIO,Permanent,Full Time,Female,Active,,13,Marketing,Boston,Job Board,2016-11-05,,2019-08-27,12,2019-08-27,,,,
537,W100536,SVP of Marketing,Permanent,Full Time,Male,Active,,12,Sales,Chicago,Campus Recruiting,2019-04-05,,,11,2019-04-05,,,,
538,W100537,CTO,Permanent,Full Time,Male,Active,,13,Product,Chicago,Job Board,2022-09-03,,,12,2022-09-03,,,,
539,W100538,SVP of Sales,Permanent,Full Time,Male,Active,,12,IT,Austin,Internal Transfer,2019-08-02,,,,2019-08-02,,,,
540,W100539,CIO,Permanent,Full Time,Female,Active,,13,Sales,Chicago,Referral,2014-03-19,,2015-05-12,12,2015-05-12,,,2021-08-22,2021-10-03
541,W100540,SVP of Engineering,Permanent,Full Time,Female,Terminated,Involuntary,12,Engineering,New York,Referral,2020-07-19,2020-10-07,,11,2023-04-03,,,,
542,W100541,Senior Data Analyst,Permanent,Full Time,Male,Active,,5,IT,Chicago,Recruiter,2018-10-01,,2022-07-02,4,2022-07-02,,,,
543,W100542,Junior Software Engineer,Permanent,Part Time,Male,Active,,2,Marketing,San Francisco,Internal Transfer,2016-07-20,,2016-08-02,1,2016-08-02,,,,
544,W100543,SVP of Sales,Permanent,Full Time,Male,Active,,12,Product,Boston,Referral,2013-12-25,,,,2024-05-27,2021-10-19,2021-11-30,,
545,W100544,Junior Sales Associate,Permanent,Full Time,Male,Active,,2,Marketing,Austin,Campus Recruiting,2020-05-28,,2020-12-05,1,2020-12-05,,,,
546,W100545,SVP of Engineering,Permanent,Full Time,Female,Active,,12,Sales,Boston,Campus Recruiting,2018-07-05,,,,2018-07-05,,,,
547,W100546,Senior Sales Associate,Contractor,Part Time,Male,Active,,6,Sales,Chicago,Internal Transfer,2014-08-01,,2023-01-04,5,2023-01-04,,,,
548,W100547,Director of Engineering,Permanent,Full Time,Male,Active,,9,Finance,Remote,Recruiter,2021-11-20,,,,2021-11-20,,,,
549,W100548,CTO,Permanent,Full Time,Male,Active,,13,Sales,Austin,Job Board,2023-01-04,,,12,2023-01-04,,,,
550,W100549,Director of Marketing,Permanent,Full Time,Female,Active,,9,Engineering,Austin,Internal Transfer,2013-08-09,,2023-09-16,8,2023-09-16,,,,
551,W100550,SVP of Marketing,Permanent,Full Time,Female,Active,,12,Finance,Boston,Job Board,2018-12-18,,,,2023-07-04,,,,
552,W100551,Data Analyst,Permanent,Part Time,Female,Active,,3,Product,Chicago,Campus Recruiting,2018-12-01,,,2,2023-05-26,,,,
553,W100552,Director of Engineering,Permanent,Full Time,Female,Active,,9,HR,Boston,Recruiter,2022-11-08,,,8,2024-05-12,,,,
554,W100553,Director of Marketing,Permanent,Full Time,Female,Active,,9,Engineering,Boston,Referral,2023-12-20,,,8,2023-12-20,,,,
555,W100554,Senior Data Analyst,Contractor,Full Time,Female,Active,,5,Sales,New York,Referral,2022-06-20,,,,2022-06-20,,,,
556,W100555,Vice President of Marketing,Permanent,Full Time,Female,Active,,11,Marketing,San Francisco,Campus Recruiting,2020-04-27,,2023-03-06,10,2023-03-06,,,,
557,W100556,COO,Permanent,Full Time,Male,Active,,13,IT,Austin,Internal Transfer,2011-08-02,,2023-05-10,12,2023-05-10,,,,
558,W100557,CEO,Permanent,Full Time,Female,Active,,14,Finance,Remote,Job Board,2022-11-20,,,13,2022-11-20,,,,
559,W100558,Senior Data Analyst,Contractor,Full Time,Male,Active,,5,Marketing,New York,Recruiter,2011-12-05,,2015-05-01,4,2015-05-01,,,,
560,W100559,CTO,Permanent,Full Time,Female,Active,,13,Marketing,Boston,Job Board,2016-02-14,,,,2016-02-14,2023-01-30,2023-03-13,2023-08-25,2023-10-06
561,W100560,Sales Manager,Contractor,Full Time,Female,Terminated,Voluntary,7,Engineering,Austin,Referral,2011-04-18,2022-04-05,2021-02-05,6,2021-02-05,,,,
562,W100561,Senior Data Scientist,Permanent,Full Time,Female,Active,,8,Engineering,Boston,Referral,2015-06-18,,2017-04-07,7,2017-04-07,,,,
563,W100562,Vice President of Engineering,Permanent,Full Time,Male,Active,,11,Engineering,Remote,Campus Recruiting,2016-12-20,,2020-11-07,10,2020-11-07,,,,
564,W100563,Marketing Specialist,Contractor,Part Time,Female,Active,,4,Engineering,Chicago,Referral,2013-04-10,,2022-05-07,3,2022-05-07,,,,
565,W100564,CMO,Permanent,Full Time,Male,Active,,13,IT,Remote,Job Board,2019-08-24,,2023-03-03,12,2023-03-03,,,,
566,W100565,Marketing Manager,Permanent,Full Time,Female,Active,,7,Operations,Boston,Referral,2024-11-07,,,,2024-11-07,,,,
567,W100566,Vice President of Marketing,Permanent,Full Time,Male,Active,,11,Operations,New York,Recruiter,2015-10-18,,,,2015-10-18,,,,
568,W100567,CTO,Permanent,Full Time,Female,Active,,13,IT,Chicago,Referral,2024-06-30,,,12,2024-06-30,,,,
569,W100568,Director of Marketing,Permanent,Full Time,Female,Active,,9,Engineering,New York,Job Board,2025-01-06,,,8,2023-05-23,,,,
570,W100569,SVP of Marketing,Permanent,Full Time,Male,Active,,12,HR,San Francisco,Internal Transfer,2017-05-05,,2019-05-11,11,2019-05-11,,,,
571,W100570,SVP of Engineering,Permanent,Full Time,Male,Terminated,Involuntary,12,Engineering,Boston,Job Board,2014-01-22,2017-06-19,,,2014-01-22,,,,
572,W100571,Sales Associate,Permanent,Part Time,Female,Terminated,Voluntary,4,Sales,New York,Recruiter,2013-02-09,2019-11-14,2015-03-20,3,2015-03-20,,,,
573,W100572,Director of Marketing,Permanent,Full Time,Male,Active,,9,Sales,Austin,Referral,2019-09-05,,2021-04-05,8,2021-04-05,,,,
574,W100573,Vice President of Marketing,Permanent,Full Time,Female,Active,,11,Engineering,New York,Job Board,2014-11-07,,2019-09-25,10,2019-09-25,,,,
575,W100574,Marketing Specialist,Permanent,Part Time,Male,Active,,4,Sales,San Francisco,Recruiter,2012-08-17,,2022-03-17,3,2022-03-17,,,,
576,W100575,CIO,Permanent,Full Time,Male,Active,,13,Engineering,Austin,Referral,2016-01-15,,2019-05-01,12,2019-05-01,2022-06-05,2022-07-17,,
577,W100576,CMO,Permanent,Full Time,Male,Active,,13,HR,Austin,Job Board,2010-04-03,,2015-01-23,12,2015-01-23,,,,
578,W100577,Vice President of Sales,Permanent,Full Time,Female,Active,,11,Finance,Boston,Internal Transfer,2016-03-10,,,,2016-03-10,,,,
579,W100578,COO,Permanent,Full Time,Female,Terminated,Voluntary,13,Marketing,Chicago,Referral,2020-03-12,2024-04-09,,,2024-06-03,,,,
580,W100579,Marketing Specialist,Permanent,Full Time,Female,Active,,4,Operations,Remote,Job Board,2015-02-26,,2021-05-19,3,2021-05-19,,,2024-05-20,2024-07-01
581,W100580,Software Engineer,Contractor,Part Time,Female,Active,,4,HR,Remote,Job Board,2023-01-24,,,3,2023-01-24,,,,
582,W100581,Software Engineer,Permanent,Part Time,Male,Terminated,Involuntary,4,IT,Chicago,Internal Transfer,2017-10-20,2022-02-21,2024-12-28,3,2024-12-28,,,,
583,W100582,COO,Permanent,Full Time,Female,Active,,13,Finance,Boston,Recruiter,2022-08-17,,,12,2022-08-17,,,,
584,W100583,Vice President of Engineering,Permanent,Full Time,Female,Active,,11,IT,New York,Campus Recruiting,2013-08-22,,2018-09-22,10,2018-09-22,,,,
585,W100584,CTO,Permanent,Full Time,Female,Active,,13,Operations,Chicago,Internal Transfer,2016-09-17,,2023-01-12,12,2023-01-12,,,,
586,W100585,CEO,Permanent,Full Time,Female,Active,,14,Sales,New York,Job Board,2017-10-05,,,13,2017-10-05,,,,
587,W100586,SVP of Marketing,Permanent,Full Time,Male,Active,,12,IT,Boston,Job Board,2019-05-18,,2021-10-24,11,2021-10-24,,,,
588,W100587,Sales Associate,Permanent,Part Time,Female,Active,,4,IT,Remote,Campus Recruiting,2023-10-20,,,,2023-10-20,,,,
589,W100588,Vice President of Marketing,Permanent,Full Time,Male,Active,,11,Engineering,New York,Job Board,2020-05-26,,,10,2020-05-26,,,,
590,W100589,CEO,Permanent,Full Time,Female,Active,,14,HR,Austin,Referral,2018-05-13,,,,2018-05-13,,,,
591,W100590,Marketing Specialist,Contractor,Full Time,Male,Active,,4,Sales,New York,Referral,2010-11-02,,,,2010-11-02,,,,
592,W100591,Sales Associate,Contractor,Full Time,Male,Active,,4,Engineering,Remote,Recruiter,2023-01-06,,,3,2023-01-06,2024-07-15,2024-08-26,,
593,W100592,Senior Product Manager,Permanent,Full Time,Female,Active,,9,IT,Austin,Referral,2018-08-28,,,,2018-08-28,,,,
594,W100593,CIO,Permanent,Full Time,Female,Active,,13,HR,San Francisco,Job Board,2010-04-07,,2023-05-18,12,2023-05-18,,,,
595,W100594,Director of Engineering,Permanent,Full Time,Male,Active,,9,Sales,Chicago,Campus Recruiting,2016-12-12,,2021-05-01,8,2021-05-01,,,,
596,W100595,Director of Engineering,Permanent,Full Time,Male,Active,,9,Sales,Chicago,Referral,2015-09-04,,2020-05-20,8,2020-05-20,,,,
597,W100596,Vice President of Sales,Permanent,Full Time,Female,Terminated,Involuntary,11,Sales,New York,Campus Recruiting,2017-08-08,2017-09-26,2021-03-07,10,2021-03-07,,,,
598,W100597,Engineering Manager,Permanent,Full Time,Female,Active,,7,Operations,New York,Recruiter,2015-02-10,,2023-11-24,6,2023-11-24,,,,
599,W100598,SVP of Sales,Permanent,Full Time,Male,Active,,12,Engineering,Remote,Recruiter,2018-06-04,,2020-01-01,11,2020-01-01,,,,
600,W100599,Director of Engineering,Permanent,Full Time,Male,Active,,9,HR,San Francisco,Referral,2024-04-29,,,8,2024-04-29,,,2020-10-22,2020-12-03
601,W100600,Senior UX Designer,Permanent,Part Time,Male,Active,,7,Engineering,Boston,Internal Transfer,2015-10-25,,2023-04-04,6,2023-04-04,,,,
602,W100601,Sales Associate,Contractor,Part Time,Male,Active,,4,Sales,New York,Referral,2016-04-07,,,3,2016-04-07,,,,
603,W100602,Senior Software Engineer,Contractor,Full Time,Male,Active,,6,Marketing,Remote,Internal Transfer,2024-09-01,,,5,2024-09-01,,,,
604,W100603,Senior Product Manager,Permanent,Full Time,Male,Active,,9,HR,Austin,Referral,2011-10-19,,2019-04-03,8,2019-04-03,,,,
605,W100604,CTO,Permanent,Full Time,Female,Terminated,Involuntary,13,Finance,Austin,Internal Transfer,2018-10-06,2023-04-07,,,2018-10-06,,,,
606,W100605,Director of Sales,Permanent,Full Time,Male,Terminated,Voluntary,9,Operations,Boston,Referral,2021-03-01,2022-09-05,2022-07-28,8,2022-07-28,,,,
607,W100606,Senior Marketing Specialist,Permanent,Full Time,Male,Terminated,Voluntary,6,IT,Boston,Campus Recruiting,2022-11-02,2017-11-04,2023-12-03,5,2023-12-03,,,,
608,W100607,CMO,Permanent,Full Time,Male,Active,,13,Sales,San Francisco,Recruiter,2017-03-07,,,,2017-03-07,2023-01-17,2023-02-28,,
609,W100608,Senior Data Analyst,Permanent,Full Time,Male,Active,,5,HR,Chicago,Internal Transfer,2023-03-11,,,4,2023-02-11,,,,
610,W100609,Junior Software Engineer,Contractor,Part Time,Female,Active,,2,Operations,Austin,Campus Recruiting,2010-04-24,,2015-09-16,1,2015-09-16,,,,
